user_id,name,email,phone,age,city,profession,social_score,app_usage_score,bill_payment_score,recharge_pattern_score,is_defaulter
1,User1,user1@example.com,9876500001,21,Kolkata,Teacher,0.98,0.45,0.23,0.01,0
2,User2,user2@example.com,9876500002,49,Chennai,Freelancer,0.61,0.51,0.05,0.57,0
3,User3,user3@example.com,9876500003,45,Bangalore,Teacher,0.78,0.05,0.5,0.77,0
4,User4,user4@example.com,9876500004,31,Delhi,Engineer,0.97,0.49,0.04,0.01,0
5,User5,user5@example.com,9876500005,37,Delhi,Freelancer,0.45,0.64,0.83,0.81,0
6,User6,user6@example.com,9876500006,42,Chennai,Teacher,0.56,0.09,0.07,0.98,0
7,User7,user7@example.com,9876500007,28,Kolkata,Driver,0.15,0.04,0.41,0.76,1
8,User8,user8@example.com,9876500008,24,Chennai,Freelancer,0.39,0.05,0.63,0.04,0
9,User9,user9@example.com,9876500009,34,Chennai,Teacher,0.11,0.32,0.42,0.29,0
10,User10,user10@example.com,9876500010,26,Kolkata,Teacher,0.35,0.7,0.57,0.02,1
11,User11,user11@example.com,9876500011,44,Delhi,Manager,0.58,0.64,0.94,0.58,0
12,User12,user12@example.com,9876500012,35,Delhi,Freelancer,0.46,0.51,0.76,0.7,0
13,User13,user13@example.com,9876500013,20,Bangalore,Driver,0.77,0.71,0.71,0.49,1
14,User14,user14@example.com,9876500014,24,Kolkata,Freelancer,0.7,0.46,0.75,0.67,0
15,User15,user15@example.com,9876500015,23,Bangalore,Engineer,0.39,0.8,0.82,0.32,1
16,User16,user16@example.com,9876500016,48,Bangalore,Freelancer,0.88,0.59,0.26,0.52,0
17,User17,user17@example.com,9876500017,25,Chennai,Engineer,0.28,0.55,0.27,0.93,0
18,User18,user18@example.com,9876500018,42,Kolkata,Freelancer,0.55,0.86,0.85,0.57,0
19,User19,user19@example.com,9876500019,41,Kolkata,Driver,0.1,0.19,0.1,0.01,0
20,User20,user20@example.com,9876500020,32,Mumbai,Manager,0.44,0.51,0.87,0.08,1
21,User21,user21@example.com,9876500021,46,Delhi,Engineer,0.44,0.08,0.21,0.95,0
22,User22,user22@example.com,9876500022,44,Delhi,Engineer,0.61,0.63,0.82,0.87,0
23,User23,user23@example.com,9876500023,36,Mumbai,Manager,0.31,0.43,0.41,0.16,0
24,User24,user24@example.com,9876500024,29,Mumbai,Driver,0.54,0.81,0.05,0.07,0
25,User25,user25@example.com,9876500025,38,Mumbai,Freelancer,0.17,0.98,0.99,0.71,1
26,User26,user26@example.com,9876500026,28,Chennai,Manager,0.73,0.97,0.85,0.06,0
27,User27,user27@example.com,9876500027,27,Mumbai,Manager,0.87,0.52,0.6,0.09,1
28,User28,user28@example.com,9876500028,24,Mumbai,Freelancer,0.48,0.35,0.68,0.47,0
29,User29,user29@example.com,9876500029,46,Chennai,Driver,0.59,0.71,0.98,0.97,0
30,User30,user30@example.com,9876500030,29,Bangalore,Manager,0.01,0.66,0.46,0.4,0
